"id","declared_date","ex_dividend_date","record_date","payable_date","special_dividend_in_kind","dividend_amount"
"1","2016-11-10","2016-12-28","2016-12-30","2017-01-12",NULL,"0.215"
"2","2016-08-03","2016-09-26","2016-09-28","2016-10-12",NULL,"0.215"
"3","2016-05-10","2016-01-28","2016-01-30","2016-07-12",NULL,"0.215"
"4","2016-02-17","2016-03-28","2016-03-30","2016-04-12",NULL,"0.215"
"5","2015-11-02",NULL,NULL,NULL,NULL,"0.215"
"6","2015-07-29",NULL,NULL,NULL,NULL,"0.215"
"7","2015-05-04",NULL,NULL,NULL,NULL,"0.215"
"8","2015-02-11",NULL,NULL,NULL,NULL,"0.215"
"9","2014-11-03",NULL,NULL,NULL,NULL,"0.215"
"10","2014-07-28",NULL,NULL,NULL,NULL,"0.215"
"11","2014-05-05",NULL,NULL,NULL,NULL,"0.21"
"12","2014-02-19",NULL,NULL,NULL,NULL,"0.21"
"13","2013-10-31",NULL,NULL,NULL,NULL,"0.21"
"14","2013-07-29",NULL,NULL,NULL,NULL,"0.21"
"15","2013-05-06",NULL,NULL,NULL,NULL,"0.21"
"16","2013-02-20",NULL,NULL,NULL,NULL,"0.21"
"17","2012-11-05",NULL,NULL,NULL,NULL,"0.21"
"18","2012-08-07",NULL,NULL,NULL,NULL,"0.21"
"19","2012-05-07",NULL,NULL,NULL,NULL,"0.2"
"20","2012-03-08",NULL,NULL,NULL,NULL,"0.2"
"21","2011-11-07",NULL,NULL,NULL,NULL,"0.2"
"22","2011-08-10",NULL,NULL,NULL,NULL,"0.2"
"23","2011-05-11",NULL,NULL,NULL,NULL,"0.2"
"24","2011-03-02",NULL,NULL,NULL,NULL,"0.2"
"25","2010-11-03",NULL,NULL,NULL,NULL,"0.2"
"26","2010-08-05",NULL,NULL,NULL,NULL,"0.2"
"27","2010-05-06",NULL,NULL,NULL,NULL,"0.2"
"28","2010-03-10",NULL,NULL,NULL,NULL,"0.2"
"29","2009-11-06",NULL,NULL,NULL,NULL,"0.2"
"30","2009-08-13",NULL,NULL,NULL,NULL,"0.2"
"31","2009-05-11",NULL,NULL,NULL,NULL,"0.2"
"32","2009-05-05",NULL,NULL,NULL,NULL,"0.2"
"33","2009-01-01",NULL,NULL,NULL,"2009-07-17","0.28"
"34","2008-11-06",NULL,NULL,NULL,NULL,"0.2"
"35","2008-08-07",NULL,NULL,NULL,NULL,"0.2"
"36","2008-05-06",NULL,NULL,NULL,NULL,"0.2"
"37","2008-03-06",NULL,NULL,NULL,NULL,"0.2"
"38","2007-11-08",NULL,NULL,NULL,NULL,"0.2"
"39","2007-08-09",NULL,NULL,NULL,NULL,"0.2"
"40","2007-05-08",NULL,NULL,NULL,NULL,"0.19"
"41","2007-03-08",NULL,NULL,NULL,NULL,"0.19"
"42","2006-11-09",NULL,NULL,NULL,NULL,"0.19"
"43","2006-08-10",NULL,NULL,NULL,NULL,"0.19"
"44","2006-05-09",NULL,NULL,NULL,NULL,"0.19"
"45","2006-03-09",NULL,NULL,NULL,NULL,"0.19"
"46","2005-11-11",NULL,NULL,NULL,NULL,"0.19"
"47","2005-08-11",NULL,NULL,NULL,NULL,"0.19"
"48","2005-05-12",NULL,NULL,NULL,NULL,"0.19"
"49","2005-02-16",NULL,NULL,NULL,NULL,"0.19"
"50","2005-01-01",NULL,NULL,NULL,"2005-02-16","0.13"
"51","2004-11-08",NULL,NULL,NULL,NULL,"0.19"
"52","2004-08-10",NULL,NULL,NULL,NULL,"0.18"
"53","2004-05-07",NULL,NULL,NULL,NULL,"0.18"
"54","2004-02-17",NULL,NULL,NULL,NULL,"0.18"
"55","2003-11-19",NULL,NULL,NULL,NULL,"0.18"
"56","2003-07-30",NULL,NULL,NULL,NULL,"0.18"
"57","2003-05-22",NULL,NULL,NULL,NULL,"0.18"
"58","2003-02-14",NULL,NULL,NULL,NULL,"0.18"
"59","2002-11-11",NULL,NULL,NULL,NULL,"0.18"
"60","2002-08-14",NULL,NULL,NULL,NULL,"0.17"
"61","2002-04-29",NULL,NULL,NULL,NULL,"0.17"
"62","2002-03-06",NULL,NULL,NULL,NULL,"0.17"
"63","2001-12-14",NULL,NULL,NULL,NULL,"0.17"
"64","2001-09-07",NULL,NULL,NULL,NULL,"0.15"
"65","2001-06-01",NULL,NULL,NULL,NULL,"0.15"
"66","2001-03-08",NULL,NULL,NULL,NULL,"0.15"
"67","2000-12-15",NULL,NULL,NULL,NULL,"0.15"
"68","2000-08-23",NULL,NULL,NULL,NULL,"0.14"
"69","2000-05-04",NULL,NULL,NULL,NULL,"0.14"
"70","2000-02-03",NULL,NULL,NULL,NULL,"0.14"
"71","1999-11-04",NULL,NULL,NULL,NULL,"0.14"
"72","1999-08-06",NULL,NULL,NULL,NULL,"0.14"
"73","1999-05-06",NULL,NULL,NULL,NULL,"0.14"
"74","1999-02-08",NULL,NULL,NULL,NULL,"0.14"
"75","1998-10-30",NULL,NULL,NULL,NULL,"0.14"
"76","1998-08-04",NULL,NULL,NULL,NULL,"0.13"
"77","1998-05-05",NULL,NULL,NULL,NULL,"0.13"
"78","1998-02-06",NULL,NULL,NULL,NULL,"0.13"
"79","1997-11-04",NULL,NULL,NULL,NULL,"0.13"
"80","1997-08-05",NULL,NULL,NULL,NULL,"0.13"
"81","1997-05-05",NULL,NULL,NULL,NULL,"0.13"
"82","1997-02-14",NULL,NULL,NULL,NULL,"0.13"
"83","1996-11-14",NULL,NULL,NULL,NULL,"0.13"
"84","1996-08-09",NULL,NULL,NULL,NULL,"0.12"
"85","1996-05-07",NULL,NULL,NULL,NULL,"0.12"
"86","1996-01-26",NULL,NULL,NULL,NULL,"0.12"
"87","1995-11-14",NULL,NULL,NULL,NULL,"0.12"
"88","1995-08-11",NULL,NULL,NULL,NULL,"0.12"
"89","1995-05-12",NULL,NULL,NULL,NULL,"0.12"
"90","1994-12-16",NULL,NULL,NULL,NULL,"0.11"
"91","1994-11-11",NULL,NULL,NULL,NULL,"0.09"
"92","1994-08-05",NULL,NULL,NULL,NULL,"0.09"
"93","2017-02-14","2017-03-27","2017-03-29","2017-04-11",NULL,"0.215"
"94","2017-05-08","2017-06-28","2017-06-30","2017-07-11",NULL,"0.215"
